14/07/2016 13:44:52		Kolkata	20	Hindi	Expert	Higher Secondary	2	1	2	1	1	1	1	2	1	2	1	2
12/07/2016 12:33:25		Delhi	21	Hindi	Comfortable	Graduate	2	1	2	1	2	2	1	2	1	2	1	2
18/07/2016 02:09:27		Jaipur	22	Hindi	Comfortable	Graduate	1	1	2	1	1	1	1	2	1	2	1	2
15/07/2016 22:07:06		berhampur	22	Hindi	Expert	Graduate	2	2		2	2	2	2	2	2	2		2
15/07/2016 22:24:34		Guwahati	22	Non Hindi	Comfortable	Post Graduate and above	None	None	2	None	2	2	2	2	None	2	1	None
14/07/2016 20:44:02		Kharagpur	23	Non Hindi	Comfortable	Graduate	1	1	1	1	1	1	1	2	1	1	1	2
16/07/2016 14:40:27		KHARAGPUR	23	Hindi	Comfortable	Post Graduate and above	1	1	1	1	1	1	1	2	1	1	1	2
16/07/2016 19:39:33		Kharagpur	23	Non Hindi	Comfortable	Post Graduate and above	None	None	2	1	1	1	None	None	1	2	1	2
13/07/2016 14:34:19		Mumbai	24	Hindi	Expert	Graduate	1	1	2	1	1	1	1	2	1	2	2	1
15/07/2016 20:53:27		Bangalore	24	Non Hindi	Expert	Graduate	1	1	1	1	1	1	1	2	1	1	1	1
16/07/2016 02:15:15		Gurgaon	24	Non Hindi	Expert	Graduate	1	1	2	1	1	1	1	1	1	2	2	2
16/07/2016 03:03:54		Hyderabad	24	Non Hindi	Expert	Graduate	1	1	1	1	1	1	1	2	1	2	2	2
12/07/2016 11:31:40		Kharagpur	24	Non Hindi	Comfortable	Post Graduate and above	1	1	1	1	1	1	1	2	1	1	1	1
16/07/2016 00:48:29		bokaro	25	Non Hindi	Expert	Graduate	None	1		1	1	1	1	2	1	2		2
16/07/2016 15:38:20		Khndwa	25	Hindi	Comfortable	Graduate	2	None	2	None	2	2	2	2	None	2	2	2
19/07/2016 09:14:47		Narshinghpur	26	Hindi	Comfortable	Graduate	2	None	2	None	2	2	2	2	None	2	None	None
12/07/2016 13:06:49		Kharagpur	26	Hindi	Expert	Graduate	2	2	2	1	2	2	2	2	2	2	2	2
12/07/2016 12:40:13		Kharagpur	26	Non Hindi	Comfortable	Post Graduate and above	2	1	None	None	1	1	1	2	1	2	1	2
15/07/2016 11:48:03		Lucknow UP	26	Hindi	Expert	Post Graduate and above	1	1	1	1	1	1	1	1	1	1	1	1
13/07/2016 11:28:36		Lucknow	26	Hindi	Comfortable	Post Graduate and above	2	1		1	1	1	1	2	1	1		2
15/07/2016 19:24:05		Haridware	26	Hindi	Expert	Post Graduate and above	2	2	2	1	1	1	2	2	1	2	1	2
15/07/2016 21:08:53		Bhopal	26	Hindi	Comfortable	Post Graduate and above	2	2	2	None	2	2	2	2	None	2	None	None
